current_day,current_hour,current_minute,clicks,leads,spend,cpa,realized_cpc,daily_budget,max_bid,volatility,budget_status,current_day_spend
8,168,10080,5,1,5.0629,5.0629,1.0126,1000.0,1.58,1.0,normal,5.0629
8,168,10095,7,0,11.06,11.06,1.58,1000.0,1.58,1.0,normal,16.1229
8,168,10110,7,0,11.06,11.06,1.58,1000.0,1.58,1.0,normal,27.1829
8,168,10125,3,0,4.74,4.74,1.58,1000.0,1.58,1.0,normal,31.9229
8,169,10140,4,0,6.32,6.32,1.58,1000.0,1.58,1.0,normal,38.2429
8,169,10155,6,0,9.48,9.48,1.58,1000.0,1.58,1.0,normal,47.7229
8,169,10170,4,0,6.32,6.32,1.58,1000.0,1.58,1.0,normal,54.0429
8,169,10185,7,0,11.06,11.06,1.58,1000.0,1.58,1.0,normal,65.1029
8,170,10200,6,0,9.84,9.84,1.64,1000.0,1.64,1.0,normal,74.9429
8,170,10215,3,0,3.7716,3.7716,1.2572,1000.0,1.64,1.0,normal,78.7145
8,170,10230,7,0,11.48,11.48,1.64,1000.0,1.64,1.0,normal,90.1945
8,170,10245,4,0,6.56,6.56,1.64,1000.0,1.64,1.0,normal,96.7545
8,171,10260,4,1,6.56,6.56,1.64,1000.0,1.64,1.0,normal,103.3145
8,171,10275,7,0,11.48,11.48,1.64,1000.0,1.64,1.0,normal,114.7945
8,171,10290,2,0,3.28,3.28,1.64,1000.0,1.64,1.0,normal,118.0745
8,171,10305,6,0,9.84,9.84,1.64,1000.0,1.64,1.0,normal,127.9145
8,172,10320,8,0,10.4027,10.4027,1.3003,1000.0,1.8,1.0,normal,138.3172
8,172,10335,5,0,9.0,9.0,1.8,1000.0,1.8,1.0,normal,147.3172
8,172,10350,1,1,1.5538,1.5538,1.5538,1000.0,1.8,1.0,normal,148.871
8,172,10365,2,0,3.6,3.6,1.8,1000.0,1.8,1.0,normal,152.471
8,173,10380,6,0,10.8,10.8,1.8,1000.0,1.8,1.0,normal,163.271
8,173,10395,3,0,3.4374,3.4374,1.1458,1000.0,1.8,1.0,normal,166.7084
8,173,10410,5,1,9.0,9.0,1.8,1000.0,1.8,1.0,normal,175.7084
8,173,10425,7,1,12.6,12.6,1.8,1000.0,1.8,1.0,normal,188.3084
8,174,10440,4,0,5.1872,5.1872,1.2968,1000.0,1.87,1.0,normal,193.4956
8,174,10455,7,0,11.1966,11.1966,1.5995,1000.0,1.87,1.0,normal,204.6922
8,174,10470,6,0,11.22,11.22,1.87,1000.0,1.87,1.0,normal,215.9122
8,174,10485,6,0,11.22,11.22,1.87,1000.0,1.87,1.0,normal,227.1322
8,175,10500,5,0,9.35,9.35,1.87,1000.0,1.87,1.0,normal,236.4822
8,175,10515,8,0,14.96,14.96,1.87,1000.0,1.87,1.0,normal,251.4422
8,175,10530,7,0,7.5476,7.5476,1.0782,1000.0,1.87,1.0,normal,258.9898
8,175,10545,7,0,13.09,13.09,1.87,1000.0,1.87,1.0,normal,272.0798
8,176,10560,5,0,10.45,10.45,2.09,1000.0,2.09,1.0,normal,282.5298
8,176,10575,7,1,14.63,14.63,2.09,1000.0,2.09,1.0,normal,297.1598
8,176,10590,8,0,16.72,16.72,2.09,1000.0,2.09,1.0,normal,313.8798
8,176,10605,3,0,5.2334,5.2334,1.7445,1000.0,2.09,1.0,normal,319.1132
8,177,10620,3,0,6.27,6.27,2.09,1000.0,2.09,1.0,normal,325.3832
8,177,10635,5,0,10.45,10.45,2.09,1000.0,2.09,1.0,normal,335.8332
8,177,10650,3,0,6.27,6.27,2.09,1000.0,2.09,1.0,normal,342.1032
8,177,10665,3,0,5.6257,5.6257,1.8752,1000.0,2.09,1.0,normal,347.7289
8,178,10680,3,0,4.3287,4.3287,1.4429,1000.0,2.17,1.0,normal,352.0576
8,178,10695,9,0,17.9722,17.9722,1.9969,1000.0,2.17,1.0,normal,370.0298
8,178,10710,7,0,15.19,15.19,2.17,1000.0,2.17,1.0,normal,385.2198
