current_day,current_hour,current_minute,clicks,leads,spend,cpa,realized_cpc,daily_budget,max_bid,volatility,budget_status,current_day_spend
8,168,10080,0,0,0.0,0.0,4.3231,700.0,4.5,1.0,normal,0.0
8,168,10095,10,0,43.8216,43.8216,4.3822,700.0,4.5,1.0,normal,43.8216
8,168,10110,12,0,44.0417,44.0417,3.6701,700.0,4.5,1.0,normal,87.8633
8,168,10125,13,0,42.6592,42.6592,3.2815,700.0,4.5,1.0,normal,130.5225
8,169,10140,9,0,40.5,40.5,4.5,700.0,4.5,1.0,normal,171.0225
8,169,10155,9,0,40.5,40.5,4.5,700.0,4.5,1.0,normal,211.5225
8,169,10170,7,1,12.0188,12.0188,1.717,700.0,4.5,1.0,normal,223.5413
8,169,10185,9,0,40.5,40.5,4.5,700.0,4.5,1.0,normal,264.0413
8,170,10200,12,0,22.3944,22.3944,1.8662,700.0,4.5,1.0,normal,286.4357
8,170,10215,9,0,31.0593,31.0593,3.451,700.0,4.5,1.0,normal,317.495
8,170,10230,10,1,45.0,45.0,4.5,700.0,4.5,1.0,normal,362.495
8,170,10245,6,0,22.7208,22.7208,3.7868,700.0,4.5,1.0,normal,385.2158
8,171,10260,10,1,37.7482,37.7482,3.7748,700.0,4.5,1.0,normal,422.964
8,171,10275,11,0,41.4587,41.4587,3.769,700.0,4.5,1.0,normal,464.4227
8,171,10290,10,0,42.4115,42.4115,4.2412,700.0,4.5,1.0,normal,506.8342
8,171,10305,13,0,43.6861,43.6861,3.3605,700.0,4.5,1.0,normal,550.5203
8,172,10320,20,1,49.187,49.187,2.4594,700.0,5.85,1.0,normal,599.7073
8,172,10335,21,0,74.4436,74.4436,3.5449,700.0,5.85,1.0,budget_constrained,674.1509
8,172,10350,7,0,25.8491,25.8491,3.283,700.0,5.85,1.0,budget_depleted,700.0
8,172,10365,0,0,0.0,0.0,0.0,700.0,5.85,1.0,budget_depleted,700.0
8,173,10380,0,0,0.0,0.0,0.0,700.0,5.85,1.0,budget_depleted,700.0
8,173,10395,0,0,0.0,0.0,0.0,700.0,5.85,1.0,budget_depleted,700.0
8,173,10410,0,0,0.0,0.0,0.0,700.0,5.85,1.0,budget_depleted,700.0
8,173,10425,0,0,0.0,0.0,0.0,700.0,5.85,1.0,budget_depleted,700.0
8,174,10440,0,0,0.0,0.0,0.0,700.0,5.85,1.0,budget_depleted,700.0
8,174,10455,0,0,0.0,0.0,0.0,700.0,5.85,1.0,budget_depleted,700.0
8,174,10470,0,0,0.0,0.0,0.0,700.0,5.85,1.0,budget_depleted,700.0
8,174,10485,0,0,0.0,0.0,0.0,700.0,5.85,1.0,budget_depleted,700.0
8,175,10500,0,0,0.0,0.0,0.0,700.0,5.85,1.0,budget_depleted,700.0
8,175,10515,0,0,0.0,0.0,0.0,700.0,5.85,1.0,budget_depleted,700.0
8,175,10530,0,0,0.0,0.0,0.0,700.0,5.85,1.0,budget_depleted,700.0
8,175,10545,0,0,0.0,0.0,0.0,700.0,5.85,1.0,budget_depleted,700.0
8,176,10560,0,0,0.0,0.0,0.0,700.0,2.34,1.0,budget_depleted,700.0
8,176,10575,0,0,0.0,0.0,0.0,700.0,2.34,1.0,budget_depleted,700.0
8,176,10590,0,0,0.0,0.0,0.0,700.0,2.34,1.0,budget_depleted,700.0
