current_day,current_hour,current_minute,clicks,leads,spend,cpa,realized_cpc,daily_budget,max_bid,volatility,budget_status,current_day_spend
8,168,10080,5,0,6.9,6.9,1.38,1000.0,1.38,1.0,normal,6.9
8,168,10095,4,0,4.9633,4.9633,1.2408,1000.0,1.38,1.0,normal,11.8633
8,168,10110,4,0,3.0335,3.0335,0.7584,1000.0,1.38,1.0,normal,14.8968
8,168,10125,3,0,4.14,4.14,1.38,1000.0,1.38,1.0,normal,19.0368
8,169,10140,5,0,6.6,6.6,1.32,1000.0,1.32,1.0,normal,25.6368
8,169,10155,4,0,2.7124,2.7124,0.6781,1000.0,1.32,1.0,normal,28.3492
8,169,10170,2,0,2.64,2.64,1.32,1000.0,1.32,1.0,normal,30.9892
8,169,10185,4,0,2.0818,2.0818,0.5204,1000.0,1.32,1.0,normal,33.071
8,170,10200,5,0,6.35,6.35,1.27,1000.0,1.27,1.0,normal,39.421
8,170,10215,4,1,5.08,5.08,1.27,1000.0,1.27,1.0,normal,44.501
8,170,10230,3,0,3.5105,3.5105,1.1702,1000.0,1.27,1.0,normal,48.0115
8,170,10245,2,0,0.4956,0.4956,0.2478,1000.0,1.27,1.0,normal,48.5071
8,171,10260,3,0,2.8931,2.8931,0.9644,1000.0,1.21,1.0,normal,51.4002
8,171,10275,1,0,0.9604,0.9604,0.9604,1000.0,1.21,1.0,normal,52.3606
8,171,10290,4,0,4.84,4.84,1.21,1000.0,1.21,1.0,normal,57.2006
8,171,10305,5,0,6.05,6.05,1.21,1000.0,1.21,1.0,normal,63.2506
8,172,10320,3,0,3.63,3.63,1.21,1000.0,1.21,1.0,normal,66.8806
8,172,10335,2,0,2.42,2.42,1.21,1000.0,1.21,1.0,normal,69.3006
8,172,10350,1,0,0.7245,0.7245,0.7245,1000.0,1.21,1.0,normal,70.0251
8,172,10365,4,0,4.84,4.84,1.21,1000.0,1.21,1.0,normal,74.8651
8,173,10380,2,0,2.52,2.52,1.26,1000.0,1.26,1.0,normal,77.3851
8,173,10395,5,0,6.3,6.3,1.26,1000.0,1.26,1.0,normal,83.6851
8,173,10410,2,0,0.7449,0.7449,0.3725,1000.0,1.26,1.0,normal,84.43
8,173,10425,2,0,1.7646,1.7646,0.8823,1000.0,1.26,1.0,normal,86.1946
8,174,10440,0,0,0.0,0.0,0.5366,1000.0,1.31,1.0,normal,86.1946
8,174,10455,6,0,7.86,7.86,1.31,1000.0,1.31,1.0,normal,94.0546
8,174,10470,3,0,3.93,3.93,1.31,1000.0,1.31,1.0,normal,97.9846
8,174,10485,7,0,9.17,9.17,1.31,1000.0,1.31,1.0,normal,107.1546
8,175,10500,1,0,1.36,1.36,1.36,1000.0,1.36,1.0,normal,108.5146
8,175,10515,5,0,6.6777,6.6777,1.3355,1000.0,1.36,1.0,normal,115.1923
8,175,10530,3,0,0.7192,0.7192,0.2397,1000.0,1.36,1.0,normal,115.9115
8,175,10545,4,0,0.3466,0.3466,0.0866,1000.0,1.36,1.0,normal,116.2581
8,176,10560,4,0,1.601,1.601,0.4003,1000.0,1.36,1.0,normal,117.8591
