stamp,base_seed,run_idx,source,final_cumulative_f,total_f,mean_hourly_f,pct_positive_f
seed10_run0,10,0,IB,111035.58178745802,111035.5817874581,154.21608581591403,54.44444444444444
seed10_run0,10,0,MAS,132019.8685352782,132019.86853527802,183.36092852121948,50.55555555555556
seed10_run0,10,0,CENTAUR,179616.1101944793,179616.11019447944,249.46681971455476,58.75
seed10_run1,10,1,IB,88541.65288630783,88541.65288630783,122.97451789764976,50.97222222222222
seed10_run1,10,1,MAS,110942.54352622724,110942.54352622732,154.08686600864905,57.638888888888886
seed10_run1,10,1,CENTAUR,150674.0489281955,150674.04892819538,209.26951240027137,54.30555555555555
seed200_run0,200,0,IB,84577.26398407195,84577.263984072,117.4684222001,46.52777777777778
seed200_run0,200,0,MAS,163218.38786851923,163218.3878685192,226.69220537294333,55.833333333333336
seed200_run0,200,0,CENTAUR,174316.9845987474,174316.98459874722,242.1069230538156,56.94444444444444
seed200_run1,200,1,IB,69442.52068961106,69442.52068961109,96.44794540223762,48.75
seed200_run1,200,1,MAS,139074.54490904498,139074.54490904493,193.1590901514513,50.97222222222222
seed200_run1,200,1,CENTAUR,159680.84936260356,159680.84936260368,221.77895744806068,54.02777777777777
seed42_run0,42,0,IB,89294.62207615373,89294.62207615373,124.0203084391024,50.55555555555556
seed42_run0,42,0,MAS,126483.51044515955,126483.51044515948,175.6715422849437,53.19444444444444
seed42_run0,42,0,CENTAUR,141254.38057348912,141254.38057348915,196.1866396854016,58.333333333333336
seed42_run1,42,1,IB,88875.99898642038,88875.9989864204,123.43888748113945,51.94444444444445
seed42_run1,42,1,MAS,106001.67190613528,106001.67190613528,147.22454431407678,52.916666666666664
seed42_run1,42,1,CENTAUR,149444.34713911402,149444.34713911416,207.56159324876967,55.13888888888889
seed500_run0,500,0,IB,90650.76565108616,90650.76565108621,125.90384118206418,54.58333333333333
seed500_run0,500,0,MAS,120022.49149012944,120022.49149012953,166.69790484740213,47.5
seed500_run0,500,0,CENTAUR,174015.27882043112,174015.27882043098,241.68788725059858,59.02777777777778
seed500_run1,500,1,IB,107390.19009444692,107390.19009444688,149.1530417978429,47.083333333333336
seed500_run1,500,1,MAS,159050.2232130049,159050.22321300505,220.90308779584035,57.638888888888886
seed500_run1,500,1,CENTAUR,162613.14940242772,162613.14940242755,225.8515963922605,52.361111111111114
seed700_run0,700,0,IB,86091.02180699336,86091.02180699348,119.57086362082427,48.61111111111111
seed700_run0,700,0,MAS,155437.86176863458,155437.86176863455,215.88591912310355,51.66666666666667
seed700_run0,700,0,CENTAUR,185402.81569895023,185402.81569895023,257.50391069298644,55.00000000000001
seed700_run1,700,1,IB,61387.90465340356,61387.90465340354,85.2609786852827,50.97222222222222
seed700_run1,700,1,MAS,160955.2886945433,160955.2886945432,223.54901207575446,53.75
seed700_run1,700,1,CENTAUR,143408.2906185023,143408.29061850233,199.17818141458656,48.888888888888886
