Comparison,Segment,n_runs,mean_diff_CHF,ci95_low_CHF,ci95_high_CHF,wins
Centaur vs MAS,CRASH,10,-0.46,-1.44,0.4,6
Centaur vs MAS,HOLIDAY,10,97.74,61.35,137.39,10
Centaur vs MAS,NORMAL,10,22.59,-0.32,45.31,7
Centaur vs MAS,POST_HOLIDAY,10,37.97,-58.18,123.14,8
Centaur vs IB,CRASH,10,18.12,16.71,19.89,10
Centaur vs IB,HOLIDAY,10,288.46,252.28,324.45,10
Centaur vs IB,NORMAL,10,63.15,42.08,86.52,10
Centaur vs IB,POST_HOLIDAY,10,92.55,22.74,157.12,8
MAS vs IB,CRASH,10,18.59,17.43,19.89,10
MAS vs IB,HOLIDAY,10,190.72,161.59,223.45,10
MAS vs IB,NORMAL,10,40.56,9.87,71.45,6
MAS vs IB,POST_HOLIDAY,10,54.58,-35.28,144.24,6
