hour,opti_function,volatility,event
168.0,-399.0357666666667,1.0,NORMAL
169.0,-376.1130794590424,1.0,NORMAL
170.0,106.95440265577464,1.0,NORMAL
171.0,-317.7112488778649,1.0,NORMAL
172.0,-206.80243795908441,1.0,NORMAL
173.0,177.90752770689036,1.0,NORMAL
174.0,-114.3392968598422,1.0,NORMAL
175.0,-114.22691944688047,1.0,NORMAL
176.0,-545.9959919481479,1.0,NORMAL
177.0,-610.3010383064133,1.0,NORMAL
178.0,160.7896093681153,1.0,NORMAL
179.0,-251.8773225561542,1.0,NORMAL
180.0,-209.95624412307262,1.0,NORMAL
181.0,-199.97450709011702,1.0,NORMAL
182.0,160.92674411118736,1.0,NORMAL
183.0,-314.702135983164,1.0,NORMAL
184.0,-435.3066765161106,1.0,NORMAL
185.0,-400.6658023245179,1.0,NORMAL
186.0,-469.1493633926051,1.0,NORMAL
187.0,-444.34910910191,1.0,NORMAL
188.0,-461.5705798357428,1.0,NORMAL
189.0,18.544050986288667,1.0,NORMAL
190.0,-484.20395387526446,1.0,NORMAL
191.0,-478.3174278239583,1.0,NORMAL
192.0,70.33333333333334,1.0,NORMAL
193.0,-413.54054021475133,1.0,NORMAL
194.0,-402.3531484824451,1.0,NORMAL
195.0,-438.5813704247176,1.0,NORMAL
196.0,-427.51994950390446,1.0,NORMAL
197.0,-429.4885926585928,1.0,NORMAL
198.0,-431.54099548693654,1.0,NORMAL
199.0,-438.1000500660061,1.0,NORMAL
200.0,-449.2549052868343,1.0,NORMAL
201.0,-442.714659446522,1.0,NORMAL
202.0,-443.3668602307881,1.0,NORMAL
203.0,64.76645069785438,1.0,NORMAL
204.0,91.04414280074371,1.0,NORMAL
205.0,-481.0984819197954,1.0,NORMAL
206.0,-825.9772972268493,1.0,NORMAL
207.0,511.6653305537106,1.0,NORMAL
208.0,-1169.9783787077092,1.0,NORMAL
209.0,-309.55799246273807,1.0,NORMAL
210.0,-488.20833402552813,1.0,NORMAL
211.0,-491.9613256502794,1.0,NORMAL
212.0,-495.8739954538677,1.0,NORMAL
213.0,-499.9531372486291,1.0,NORMAL
214.0,-504.20583390258867,1.0,NORMAL
215.0,-508.6394696378861,1.0,NORMAL
216.0,-424.6666666666667,1.0,NORMAL
217.0,65.62436597486868,1.0,NORMAL
218.0,-402.3531484824451,1.0,NORMAL
219.0,-438.5813704247176,1.0,NORMAL
220.0,63.139370289662715,1.0,NORMAL
221.0,-438.2202163009398,1.0,NORMAL
222.0,-418.36495736190494,1.0,NORMAL
223.0,-433.68072170382953,1.0,NORMAL
224.0,-444.8070990742913,1.0,NORMAL
225.0,-424.80467661728557,1.0,NORMAL
226.0,-449.6786879882599,1.0,NORMAL
227.0,-438.6488610085962,1.0,NORMAL
228.0,-441.250555800405,1.0,NORMAL
229.0,-462.40068317043267,1.0,NORMAL
230.0,-446.7907372586892,1.0,NORMAL
231.0,-463.7912126235276,1.0,NORMAL
232.0,-462.2601169618355,1.0,NORMAL
233.0,70.68719719358445,1.0,NORMAL
234.0,-403.7258739795907,1.0,NORMAL
235.0,-405.97802492199827,1.0,NORMAL
236.0,-380.3224498954195,1.0,NORMAL
237.0,-372.905032400679,1.0,NORMAL
238.0,160.58156716355322,1.0,NORMAL
239.0,-239.96192153303468,1.0,NORMAL
240.0,354.2845752032521,1.0,NORMAL
241.0,1279.5806327250841,1.0,NORMAL
242.0,138.39379793091723,1.0,NORMAL
243.0,381.3370482553869,1.0,NORMAL
244.0,216.6596375035939,1.0,NORMAL
245.0,-451.3176517644604,1.0,NORMAL
246.0,-453.5010590286559,1.0,NORMAL
247.0,-455.77736351471225,1.0,NORMAL
248.0,-458.1505177119204,1.0,NORMAL
249.0,-460.6246422757584,1.0,NORMAL
250.0,-463.20403318284224,1.0,NORMAL
251.0,-465.89316919029767,1.0,NORMAL
252.0,-468.6967196125053,1.0,NORMAL
253.0,-471.61955242872205,1.0,NORMAL
254.0,-474.6667427356565,1.0,NORMAL
255.0,-477.84358155967595,1.0,NORMAL
256.0,-481.1555850439448,1.0,NORMAL
257.0,-484.6085040264478,1.0,NORMAL
258.0,-488.20833402552813,1.0,NORMAL
259.0,-491.9613256502794,1.0,NORMAL
260.0,-495.8739954538677,1.0,NORMAL
261.0,-499.9531372486291,1.0,NORMAL
262.0,-504.20583390258867,1.0,NORMAL
263.0,-508.6394696378861,1.0,NORMAL
264.0,-428.9166666666667,1.0,NORMAL
265.0,-409.26926676215635,1.0,NORMAL
266.0,-432.4073126557694,1.0,NORMAL
267.0,-425.63164774511733,1.0,NORMAL
268.0,-428.2144583369337,1.0,NORMAL
269.0,-428.0740696285326,1.0,NORMAL
270.0,-421.3480123934121,1.0,NORMAL
271.0,-398.8378530307572,1.0,NORMAL
272.0,-379.35496197299284,1.0,NORMAL
273.0,-338.4696043889515,1.0,NORMAL
274.0,-289.24645342820224,1.0,NORMAL
275.0,-362.32211535034753,1.0,NORMAL
276.0,763.4684518421296,1.0,NORMAL
277.0,-789.5218727984187,1.0,NORMAL
278.0,-588.533217923202,1.0,NORMAL
279.0,395.4024636166041,1.0,NORMAL
280.0,-95.49908148809294,1.0,NORMAL
281.0,-43.65221766911438,1.0,NORMAL
282.0,238.93570340467704,1.0,NORMAL
283.0,-374.2329879634197,1.0,NORMAL
284.0,-443.2917597992277,1.0,NORMAL
285.0,-394.8003546634048,1.0,NORMAL
286.0,-423.86428239683534,1.0,NORMAL
287.0,-466.01173252113927,1.0,NORMAL
288.0,-441.6666666666667,0.0,CRASH
289.0,-404.99799330956137,0.0,CRASH
290.0,-415.2335045567269,0.0,CRASH
291.0,-416.99849929205055,0.0,CRASH
292.0,-418.8385890910388,0.0,CRASH
293.0,-442.58602812211336,0.0,CRASH
294.0,-435.9330081952804,0.0,CRASH
295.0,-442.5193784281826,0.0,CRASH
296.0,-444.8070990742913,0.0,CRASH
297.0,-442.714659446522,0.0,CRASH
298.0,-436.15334279367755,0.0,CRASH
299.0,-443.1895790388798,0.0,CRASH
300.0,-468.6967196125053,0.0,CRASH
301.0,-434.7440753955647,0.0,CRASH
302.0,-442.14473634586136,0.0,CRASH
303.0,-449.73884368737924,0.0,CRASH
304.0,-471.70785100289015,0.0,CRASH
305.0,-484.6085040264478,0.0,CRASH
306.0,-454.54883396738376,0.0,CRASH
