current_day,current_hour,current_minute,clicks,leads,spend,cpa,realized_cpc,daily_budget,max_bid,volatility,budget_status,current_day_spend
1,0,0,12,0,45.1928,45.1928,3.7661,1000.0,5.0,0.95,normal,45.1928
1,0,15,5,0,5.6248,5.6248,1.125,1000.0,5.0,0.95,normal,50.8176
1,0,30,11,0,37.789,37.789,3.4354,1000.0,5.0,0.95,normal,88.6066
1,0,45,12,0,60.0,60.0,5.0,1000.0,5.0,0.95,normal,148.6066
1,1,60,11,0,29.6563,29.6563,2.696,1000.0,3.8499999999999996,0.95,normal,178.2629
1,1,75,16,1,40.508,40.508,2.5317,1000.0,3.8499999999999996,0.95,normal,218.7709
1,1,90,5,0,6.0142,6.0142,1.2028,1000.0,3.8499999999999996,0.95,normal,224.7851
1,1,105,13,0,41.0537,41.0537,3.158,1000.0,3.8499999999999996,0.95,normal,265.8388
1,2,120,11,0,34.9388,34.9388,3.1763,1000.0,3.1762500000000005,0.95,normal,300.7776
1,2,135,9,0,28.5863,28.5863,3.1763,1000.0,3.1762500000000005,0.95,normal,329.3639
1,2,150,8,0,23.8476,23.8476,2.9809,1000.0,3.1762500000000005,0.95,normal,353.2115
1,2,165,10,0,17.0744,17.0744,1.7074,1000.0,3.1762500000000005,0.95,normal,370.2859
1,3,180,6,0,15.7224,15.7224,2.6204,1000.0,2.6204062500000007,0.95,normal,386.0083
1,3,195,5,0,10.2392,10.2392,2.0478,1000.0,2.6204062500000007,0.95,normal,396.2475
1,3,210,2,0,5.2408,5.2408,2.6204,1000.0,2.6204062500000007,0.95,normal,401.4883
1,3,225,4,0,4.3505,4.3505,1.0876,1000.0,2.6204062500000007,0.95,normal,405.8388
1,4,240,6,0,12.971,12.971,2.1618,1000.0,2.161835156250001,0.95,normal,418.8098
1,4,255,3,0,3.7641,3.7641,1.2547,1000.0,2.161835156250001,0.95,normal,422.5739
1,4,270,4,1,6.4106,6.4106,1.6027,1000.0,2.161835156250001,0.95,normal,428.9845
1,4,285,7,0,15.0245,15.0245,2.1464,1000.0,2.161835156250001,0.95,normal,444.009
1,5,300,4,1,5.9234,5.9234,1.4809,1000.0,1.7835140039062511,0.95,normal,449.9324
1,5,315,3,0,4.4078,4.4078,1.4693,1000.0,1.7835140039062511,0.95,normal,454.3402
1,5,330,2,0,3.567,3.567,1.7835,1000.0,1.7835140039062511,0.95,normal,457.9072
1,5,345,3,1,3.1399,3.1399,1.0466,1000.0,1.7835140039062511,0.95,normal,461.0471
1,6,360,3,0,4.4142,4.4142,1.4714,1000.0,1.4713990532226573,0.95,normal,465.4613
