hour,utility,volatility
168.0,-368.20525000000004,1.0
169.0,124.16449999999998,1.0
170.0,-340.195,1.0
171.0,-326.905,1.0
172.0,196.486,1.0
173.0,-290.81875,1.0
174.0,-176.33049999999997,1.0
175.0,-199.666,1.0
176.0,371.713,1.0
177.0,333.6735,1.0
178.0,268.37249999999995,1.0
179.0,1340.7793333333334,1.0
180.0,91.3388285714286,1.0
181.0,1913.6881250000001,1.0
182.0,-169.34887500000013,1.0
183.0,-400.0,1.0
184.0,-400.0,1.0
185.0,-400.0,1.0
186.0,-400.0,1.0
187.0,-400.0,1.0
188.0,-400.0,1.0
189.0,-400.0,1.0
190.0,-400.0,1.0
191.0,-400.0,1.0
192.0,-233.36382500000002,1.0
193.0,-414.5226173469388,1.0
194.0,-279.72488,1.0
195.0,827.594,1.0
196.0,-133.59470000000002,1.0
197.0,-130.95849999999996,1.0
198.0,-257.97625,1.0
199.0,-338.76849999999996,1.0
200.0,-363.25975,1.0
201.0,117.5,1.0
202.0,-385.0,1.0
203.0,-370.0,1.0
204.0,-388.75,1.0
205.0,-381.25,1.0
206.0,-392.5,1.0
207.0,-370.0,1.0
208.0,-370.0,1.0
209.0,-373.75,1.0
210.0,-373.75,1.0
211.0,-381.25,1.0
212.0,-381.25,1.0
213.0,-381.25,1.0
214.0,-377.5,1.0
215.0,-381.25,1.0
216.0,-381.25,1.0
217.0,-388.75,1.0
218.0,-373.75,1.0
219.0,-377.5,1.0
220.0,-381.25,1.0
221.0,-377.5,1.0
222.0,-373.75,1.0
223.0,127.5,1.0
224.0,-365.06125,1.0
225.0,-363.76225,1.0
226.0,-360.13975000000005,1.0
227.0,-356.15425000000005,1.0
228.0,-1324.9607,1.0
229.0,270.36749999999995,1.0
230.0,-239.36179999999996,1.0
231.0,784.8605,1.0
232.0,277.2375,1.0
233.0,-189.76749999999998,1.0
234.0,-151.70125,1.0
235.0,-288.2005,1.0
236.0,-279.2875,1.0
237.0,-307.05100000000004,1.0
238.0,-339.74875,1.0
239.0,-372.8875,1.0
240.0,-366.25,1.0
241.0,-381.25,1.0
242.0,608.75,1.0
243.0,-358.75,1.0
244.0,-385.0,1.0
245.0,-388.75,1.0
246.0,-385.0,1.0
247.0,-377.5,1.0
248.0,-385.0,1.0
249.0,-381.25,1.0
250.0,-392.5,1.0
251.0,120.0,1.0
252.0,-385.0,1.0
253.0,-379.375,1.0
254.0,139.93,1.0
255.0,622.1445,1.0
256.0,158.461,1.0
257.0,194.3175,1.0
258.0,183.84799999999996,1.0
259.0,681.9915,1.0
260.0,-208.46049999999997,1.0
261.0,-125.11299999999999,1.0
262.0,-344.0084000000001,1.0
263.0,375.69450000000006,1.0
264.0,1433.6973333333333,1.0
265.0,-1647.8780000000002,1.0
266.0,-1173.4056727272728,1.0
267.0,-1542.8569999999995,1.0
268.0,-400.0,1.0
269.0,-400.0,1.0
270.0,-400.0,1.0
271.0,-400.0,1.0
272.0,-400.0,1.0
273.0,-400.0,1.0
274.0,-400.0,1.0
275.0,-400.0,1.0
276.0,-400.0,1.0
277.0,-400.0,1.0
278.0,-400.0,1.0
279.0,-400.0,1.0
280.0,-400.0,1.0
281.0,-400.0,1.0
282.0,-400.0,1.0
283.0,-400.0,1.0
284.0,-400.0,1.0
285.0,-400.0,1.0
286.0,-400.0,1.0
287.0,-400.0,1.0
288.0,-399.925,0.0
289.0,-381.25,0.0
290.0,-385.0,0.0
291.0,-381.25,0.0
292.0,-367.0,0.0
293.0,-363.7,0.0
294.0,-365.06125,0.0
295.0,-361.56624999999997,0.0
296.0,-321.48775,0.0
297.0,-313.63675,0.0
298.0,-341.53824999999995,0.0
299.0,-303.733,0.0
300.0,-399.925,0.0
301.0,-385.0,0.0
302.0,-362.875,0.0
303.0,-363.7,0.0
304.0,-380.035,0.0
305.0,-356.07624999999996,0.0
306.0,-327.52675,0.0
307.0,-313.63599999999997,0.0
308.0,-326.923,0.0
309.0,-287.461,0.0
310.0,-375.241,0.0
311.0,-361.8715,0.0
312.0,-400.0,0.0
313.0,-377.5,0.0
314.0,-396.25,0.0
315.0,-385.0,0.0
316.0,-388.75,0.0
317.0,-388.75,0.0
318.0,-385.0,0.0
319.0,-385.0,0.0
320.0,-381.25,0.0
321.0,-358.75,0.0
322.0,-367.0,0.0
323.0,-372.77500000000003,0.0
324.0,-400.0,0.0
325.0,-381.25,0.0
326.0,-371.125,0.0
327.0,-377.3125,0.0
328.0,-355.07875,0.0
329.0,-339.6055,0.0
330.0,-327.52675,0.0
331.0,-326.923,0.0
332.0,-356.1535,0.0
333.0,-351.769,0.0
334.0,-338.10325,0.0
335.0,-265.7875,0.0
336.0,-400.0,0.0
337.0,-388.75,0.0
